,car_name,engineSize,year,mileage,price,link
654,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976151
655,Ford Focus St 2.0 Diesel 190ps,2.0,2020,11019,24650,www.theaa.com/used-cars/cardetails/37-2976141
656,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976114
657,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,1790,18990,www.theaa.com/used-cars/cardetails/37-2976100
658,Ford Focus Titanium 1.5 Diesel 120ps,1.5,2020,1042,16735,www.theaa.com/used-cars/cardetails/37-2976099
659,Ford Focus Titanium 1.5 Diesel 120ps,1.5,2020,1042,16735,www.theaa.com/used-cars/cardetails/37-2976098
660,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976089
661,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976081
662,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,2505,20520,www.theaa.com/used-cars/cardetails/37-2976045
663,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,3210,18630,www.theaa.com/used-cars/cardetails/37-2976043
664,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,1790,18990,www.theaa.com/used-cars/cardetails/37-2976042
665,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,3321,20160,www.theaa.com/used-cars/cardetails/37-2976041
666,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2976024
667,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,1606,19610,www.theaa.com/used-cars/cardetails/37-2976011
668,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,2659,19500,www.theaa.com/used-cars/cardetails/37-2976004
669,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,2659,19500,www.theaa.com/used-cars/cardetails/37-2975999
670,Ford Focus St 2.3 Petrol 280ps,2.3,2020,6441,25765,www.theaa.com/used-cars/cardetails/37-2975998
671,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,3230,19970,www.theaa.com/used-cars/cardetails/37-2975997
672,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,1959,20660,www.theaa.com/used-cars/cardetails/37-2975995
673,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,1790,18990,www.theaa.com/used-cars/cardetails/37-2975994
674,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,7241,19450,www.theaa.com/used-cars/cardetails/37-2975993
675,Ford Focus St 2.0 Diesel 190ps,2.0,2020,4106,24835,www.theaa.com/used-cars/cardetails/37-2975992
676,Ford Focus Active X 1.5 Diesel 120ps,1.5,2019,1005,18055,www.theaa.com/used-cars/cardetails/37-2975991
677,Ford Focus Active X 1.5 Diesel 120ps,1.5,2019,2879,18220,www.theaa.com/used-cars/cardetails/37-2975990
678,Ford Focus Vignale 1.5 Diesel 120ps,1.5,2020,3210,18630,www.theaa.com/used-cars/cardetails/37-2975989
679,Ford Focus St 2.0 Diesel 190ps,2.0,2020,916,24410,www.theaa.com/used-cars/cardetails/37-2975987
680,Ford Focus St 2.3 Petrol 280ps,2.3,2020,5034,26090,www.theaa.com/used-cars/cardetails/37-2975943
681,Ford Focus St 2.0 Diesel 190ps,2.0,2020,1977,23680,www.theaa.com/used-cars/cardetails/37-2975942
682,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2020,6124,20410,www.theaa.com/used-cars/cardetails/37-2975941
683,Ford Focus Vignale 2.0 Diesel 150ps,2.0,2019,3626,19355,www.theaa.com/used-cars/cardetails/37-2975935
684,Ford Focus St 2.3 Petrol 280ps,2.3,2020,4742,26170,www.theaa.com/used-cars/cardetails/37-2975934
685,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2975926
686,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2975915
687,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2975908
688,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2975888
689,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2975862
690,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,5500,18500,www.theaa.com/used-cars/cardetails/37-2975844
691,Ford Focus 1.5 TDCi 120 Zetec Edition 5dr,1.5,2017,57778,8100,www.theaa.com/used-cars/cardetails/14-2609578
692,Ford Focus 5Dr Zetec Edition 1.0 100PS,1.0,2017,19664,9299,www.theaa.com/used-cars/cardetails/14-2609474
693,Ford Focus 5Dr Titanium X 1.0 125PS,1.0,2018,6895,14499,www.theaa.com/used-cars/cardetails/14-2609470
694,Ford Focus 1.0 EcoBoost 125 Titanium X 5dr,1.0,2018,5202,12000,www.theaa.com/used-cars/cardetails/14-2609344
695,Ford Focus 5Dr Zetec 1.0 125PS,1.0,2019,12180,12999,www.theaa.com/used-cars/cardetails/14-2609263
696,Ford Focus 5Dr Zetec 1.0 125PS,1.0,2019,24805,12399,www.theaa.com/used-cars/cardetails/14-2609253
697,Ford Focus   1.0 EcoBoost 125 Titanium 5dr,1.0,2020,1459,16299,www.theaa.com/used-cars/cardetails/7-344863
698,Ford Focus 1.0 EcoBoost 125 Titanium X 5dr Auto,1.0,2017,18527,11499,www.theaa.com/used-cars/cardetails/7-344810
699,Ford Focus 1.0 EcoBoost Zetec Edition 5dr Petrol Hatchback,1.0,2018,23473,9400,www.theaa.com/used-cars/cardetails/39-947120
700,Ford Focus 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr Petrol Hatchb,1.0,2020,167,22000,www.theaa.com/used-cars/cardetails/39-947004
701,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Petrol Hatchback,1.0,2017,28654,9650,www.theaa.com/used-cars/cardetails/39-946970
702,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Petrol Hatchback,1.0,2018,16592,13000,www.theaa.com/used-cars/cardetails/39-946969
703,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Petrol Hatchback,1.0,2018,19735,12700,www.theaa.com/used-cars/cardetails/39-946935
704,Ford Focus ST 2.0T EcoBoost ST-3 5dr Petrol Hatchback,2.0,2017,39200,15213,www.theaa.com/used-cars/cardetails/39-946926
705,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Petrol Hatchback,1.0,2018,22078,10400,www.theaa.com/used-cars/cardetails/39-946922
706,FORD FOCUS 2.3 RS 5d 346 BHP,2.3,2017,23358,27000,www.theaa.com/used-cars/cardetails/59-664612
707,FORD FOCUS 1.5 ST-LINE 5d 148 BHP,1.5,2017,20420,11750,www.theaa.com/used-cars/cardetails/59-664608
708,Ford FOCUS HATCHBACK 1.0 EcoBoost 125 ST-Line 5dr,1.0,2018,14656,10499,www.theaa.com/used-cars/cardetails/122-2480
709,Ford Focus 1.0 EcoBoost 125 Titanium X 5 door,1.0,2020,2232,16589,www.theaa.com/used-cars/cardetails/50-55453
710,Ford Focus 1.5 EcoBoost 150 5 door Automatic,1.5,2018,16781,15989,www.theaa.com/used-cars/cardetails/50-55451
711,Ford Focus 2.0 TDCi 185 ST-2 5 door,2.0,2017,37483,13489,www.theaa.com/used-cars/cardetails/50-55446
712,Ford Focus 1.0 EcoBoost 125 Titanium 5 door,1.0,2018,21958,10589,www.theaa.com/used-cars/cardetails/50-55438
713,Ford Focus 1.0 EcoBoost 125 ST-Line 5 door,1.0,2017,17000,10495,www.theaa.com/used-cars/cardetails/50-55426
714,FORD FOCUS 2.0 Ecoblue 190 St 5Dr,2.0,2020,2840,25999,www.theaa.com/used-cars/cardetails/23-101836
715,Ford Focus 5Dr Titanium 1.0 125PS,1.0,2019,18833,13299,www.theaa.com/used-cars/cardetails/14-2608572
716,Ford Focus 1.5 TDCi 120 ST-Line Navigation 5dr,1.5,2018,32145,12489,www.theaa.com/used-cars/cardetails/137-694622
717,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2019,6747,14449,www.theaa.com/used-cars/cardetails/137-694423
718,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2019,11897,14504,www.theaa.com/used-cars/cardetails/137-694422
719,Ford Focus 1.0 EcoBoost Titanium 5dr,1.0,2017,24227,9677,www.theaa.com/used-cars/cardetails/137-694421
720,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2018,8032,13470,www.theaa.com/used-cars/cardetails/137-694332
721,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2020,10,17995,www.theaa.com/used-cars/cardetails/137-693367
722,Ford Focus 1.0 EcoBoost 125 Titanium X 5dr,1.0,2019,3656,14490,www.theaa.com/used-cars/cardetails/137-693366
723,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2018,10966,13500,www.theaa.com/used-cars/cardetails/137-693365
724,Ford Focus 1.0t Ecoboost Vignale Hatchback 5dr Petrol Manual (s/s) (125 Ps),1.0,2019,10491,16495,www.theaa.com/used-cars/cardetails/109-296012
725,Ford Focus 1.5 TDCi Zetec Edition (s/s) 5dr,1.5,2017,17466,9650,www.theaa.com/used-cars/cardetails/6-1796092
726,Ford Focus 1.5 EcoBlue 120 ST-Line X 5dr Auto,1.5,2020,14642,19000,www.theaa.com/used-cars/cardetails/137-694832
727,Ford Focus Vignale 1.5 EcoBlue 120 5dr Auto,1.5,2019,3244,18798,www.theaa.com/used-cars/cardetails/137-694742
728,Ford Focus 1.0 EcoBoost 125 Titanium 5dr,1.0,2019,6000,13795,www.theaa.com/used-cars/cardetails/137-694687
729,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2017,25699,10300,www.theaa.com/used-cars/cardetails/137-694482
730,Ford Focus 1.0 EcoBoost 125 Active X 5dr,1.0,2019,15000,15895,www.theaa.com/used-cars/cardetails/137-694363
731,Ford Focus 1.5 EcoBlue 120 ST-Line 5dr,1.5,2019,21000,14795,www.theaa.com/used-cars/cardetails/137-693694
